batter,total_runs,balls_faced,boundaries,strike_rate
V Kohli,8671.0,6505,1066,133.29746348962337
RG Sharma,7048.0,5317,943,132.55595260485237
S Dhawan,6769.0,5304,921,127.6206636500754
DA Warner,6567.0,4680,899,140.32051282051282
SK Raina,5536.0,4025,710,137.54037267080744
MS Dhoni,5439.0,3935,639,138.22109275730622
KL Rahul,5235.0,3836,661,136.47028154327424
AB de Villiers,5181.0,3400,667,152.3823529411765
AM Rahane,5032.0,4021,638,125.14299925391694
CH Gayle,4997.0,3331,767,150.01501050735516
RV Uthappa,4954.0,3784,663,130.91966173361521
KD Karthik,4843.0,3570,627,135.65826330532212
F du Plessis,4773.0,3506,614,136.13804905875642
SV Samson,4704.0,3368,598,139.66745843230404
AT Rayudu,4348.0,3391,532,128.2217634915954
SA Yadav,4311.0,2889,622,149.22118380062307
G Gambhir,4217.0,3394,551,124.2486741308191
JC Buttler,4121.0,2749,593,149.90905783921426
MK Pandey,3951.0,3239,456,121.9820932386539
SR Watson,3880.0,2801,567,138.5219564441271
Shubman Gill,3866.0,2774,491,139.36553713049747
SS Iyer,3735.0,2792,467,133.77507163323784
RR Pant,3566.0,2407,491,148.15122559202328
KA Pollard,3437.0,2315,445,148.46652267818575
Q de Kock,3312.0,2465,459,134.36105476673427
RA Jadeja,3260.0,2489,357,130.97629570108478
YK Pathan,3222.0,2233,424,144.29019256605466
DA Miller,3077.0,2212,358,139.10488245931282
Ishan Kishan,2998.0,2169,422,138.22037805440294
WP Saha,2934.0,2296,383,127.78745644599303
BB McCullum,2882.0,2176,423,132.44485294117646
N Rana,2853.0,2079,402,137.22943722943722
PA Patel,2848.0,2350,414,121.19148936170212
GJ Maxwell,2820.0,1810,399,155.8011049723757
MA Agarwal,2764.0,2053,375,134.63224549439846
HH Pandya,2758.0,1866,357,147.80278670953913
Yuvraj Singh,2754.0,2115,367,130.2127659574468
V Sehwag,2728.0,1740,440,156.7816091954023
AD Russell,2655.0,1508,410,176.06100795755967
M Vijay,2619.0,2147,338,121.98416394969725
RD Gaikwad,2502.0,1811,326,138.15571507454445
SPD Smith,2495.0,1931,286,129.20766442257897
SE Marsh,2489.0,1866,347,133.38692390139335
JH Kallis,2427.0,2213,299,109.6701310438319
DR Smith,2385.0,1755,362,135.8974358974359
SR Tendulkar,2334.0,1941,325,120.24729520865533
N Pooran,2293.0,1355,325,169.2250922509225
RA Tripathi,2291.0,1655,314,138.42900302114805
R Dravid,2174.0,1878,297,115.76144834930777
YBK Jaiswal,2166.0,1412,351,153.39943342776203
KS Williamson,2132.0,1692,251,126.0047281323877
AJ Finch,2092.0,1626,292,128.65928659286593
AC Gilchrist,2069.0,1483,331,139.51449763991909
