match_id,date,season,match_won_by,win_outcome,toss_winner,toss_decision,venue,city,event_name,stage,winner
335982,,2007,Kolkata Knight Riders,140 runs,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Bangalore,Indian Premier League,Unknown,Kolkata Knight Riders
335983,,2007,Chennai Super Kings,33 runs,Chennai Super Kings,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Indian Premier League,Unknown,Chennai Super Kings
335984,,2007,Delhi Daredevils,9 wickets,Rajasthan Royals,bat,Feroz Shah Kotla,Delhi,Indian Premier League,Unknown,Delhi Daredevils
335985,,2007,Royal Challengers Bangalore,5 wickets,Mumbai Indians,bat,Wankhede Stadium,Mumbai,Indian Premier League,Unknown,Royal Challengers Bangalore
335986,,2007,Kolkata Knight Riders,5 wickets,Deccan Chargers,bat,Eden Gardens,Kolkata,Indian Premier League,Unknown,Kolkata Knight Riders
335987,,2007,Rajasthan Royals,6 wickets,Kings Xi Punjab,bat,Sawai Mansingh Stadium,Jaipur,Indian Premier League,Unknown,Rajasthan Royals
335988,,2007,Delhi Daredevils,9 wickets,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Indian Premier League,Unknown,Delhi Daredevils
335989,,2007,Chennai Super Kings,6 runs,Mumbai Indians,field,"MA Chidambaram Stadium, Chepauk",Chennai,Indian Premier League,Unknown,Chennai Super Kings
335990,,2007,Rajasthan Royals,3 wickets,Rajasthan Royals,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Indian Premier League,Unknown,Rajasthan Royals
335991,,2007,Kings Xi Punjab,66 runs,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Indian Premier League,Unknown,Kings Xi Punjab
335992,,2007,Rajasthan Royals,7 wickets,Rajasthan Royals,field,M Chinnaswamy Stadium,Bangalore,Indian Premier League,Unknown,Rajasthan Royals
335993,,2007,Chennai Super Kings,9 wickets,Kolkata Knight Riders,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Indian Premier League,Unknown,Chennai Super Kings
335994,,2007,Deccan Chargers,10 wickets,Deccan Chargers,field,Dr DY Patil Sports Academy,Mumbai,Indian Premier League,Unknown,Deccan Chargers
335995,,2007,Kings Xi Punjab,4 wickets,Delhi Daredevils,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Indian Premier League,Unknown,Kings Xi Punjab
335996,,2007,Chennai Super Kings,13 runs,Chennai Super Kings,bat,M Chinnaswamy Stadium,Bangalore,Indian Premier League,Unknown,Chennai Super Kings
335997,,2007,Mumbai Indians,7 wickets,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,Indian Premier League,Unknown,Mumbai Indians
335998,,2007,Delhi Daredevils,10 runs,Royal Challengers Bangalore,field,Feroz Shah Kotla,Delhi,Indian Premier League,Unknown,Delhi Daredevils
335999,,2007,Kings Xi Punjab,7 wickets,Kings Xi Punjab,field,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Indian Premier League,Unknown,Kings Xi Punjab
336000,,2007,Rajasthan Royals,45 runs,Rajasthan Royals,bat,Sawai Mansingh Stadium,Jaipur,Indian Premier League,Unknown,Rajasthan Royals
336001,,2007,Delhi Daredevils,8 wickets,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai,Indian Premier League,Unknown,Delhi Daredevils
336002,,2007,Royal Challengers Bangalore,5 wickets,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Indian Premier League,Unknown,Royal Challengers Bangalore
336003,,2007,Kings Xi Punjab,9 runs,Kings Xi Punjab,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Indian Premier League,Unknown,Kings Xi Punjab
336004,,2007,Mumbai Indians,29 runs,Delhi Daredevils,field,Dr DY Patil Sports Academy,Mumbai,Indian Premier League,Unknown,Mumbai Indians
336005,,2007,Rajasthan Royals,8 wickets,Chennai Super Kings,bat,Sawai Mansingh Stadium,Jaipur,Indian Premier League,Unknown,Rajasthan Royals
336006,,2007,Kings Xi Punjab,6 wickets,Kings Xi Punjab,field,M Chinnaswamy Stadium,Bangalore,Indian Premier League,Unknown,Kings Xi Punjab
336007,,2007,Deccan Chargers,7 wickets,Deccan Chargers,field,"MA Chidambaram Stadium, Chepauk",Chennai,Indian Premier League,Unknown,Deccan Chargers
336008,,2007,Mumbai Indians,7 wickets,Mumbai Indians,field,Dr DY Patil Sports Academy,Mumbai,Indian Premier League,Unknown,Mumbai Indians
336009,,2007,Chennai Super Kings,4 wickets,Chennai Super Kings,field,Feroz Shah Kotla,Delhi,Indian Premier League,Unknown,Chennai Super Kings
336010,,2007,Kolkata Knight Riders,5 runs,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,Indian Premier League,Unknown,Kolkata Knight Riders
336011,,2007,Rajasthan Royals,8 wickets,Rajasthan Royals,field,Sawai Mansingh Stadium,Jaipur,Indian Premier League,Unknown,Rajasthan Royals
336012,,2007,Mumbai Indians,9 wickets,Mumbai Indians,field,M Chinnaswamy Stadium,Bangalore,Indian Premier League,Unknown,Mumbai Indians
336013,,2007,Chennai Super Kings,18 runs,Kings Xi Punjab,field,"MA Chidambaram Stadium, Chepauk",Chennai,Indian Premier League,Unknown,Chennai Super Kings
336014,,2007,Kolkata Knight Riders,23 runs,Kolkata Knight Riders,bat,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Indian Premier League,Unknown,Kolkata Knight Riders
336015,,2007,Rajasthan Royals,3 wickets,Rajasthan Royals,field,Sawai Mansingh Stadium,Jaipur,Indian Premier League,Unknown,Rajasthan Royals
336016,,2007,Kings Xi Punjab,9 wickets,Royal Challengers Bangalore,bat,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Indian Premier League,Unknown,Kings Xi Punjab
336017,,2007,Kolkata Knight Riders,23 runs,Kolkata Knight Riders,bat,Eden Gardens,Kolkata,Indian Premier League,Unknown,Kolkata Knight Riders
336018,,2007,Mumbai Indians,9 wickets,Mumbai Indians,field,Wankhede Stadium,Mumbai,Indian Premier League,Unknown,Mumbai Indians
336019,,2007,Kings Xi Punjab,41 runs,Rajasthan Royals,field,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Indian Premier League,Unknown,Kings Xi Punjab
